rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
1997,行使,4.51,xing2 shi3,to exercise (a right etc),yes
1998,讲述,4.51,jiang3 shu4,to talk about; to narrate; to give an account,yes
1999,请问,4.51,qing3 wen4,"Excuse me, may I ask...?",yes
2000,账号,4.51,zhang4 hao4,account number; account; username,yes
2001,资本主义,4.51,zi1 ben3 zhu3 yi4,capitalism,yes
2002,跟着,4.51,gen1 zhe5,to follow after; immediately afterwards,yes
2003,这项,4.51,,,no
2004,邻居,4.51,lin2 ju1,neighbor; CL:個|个[ge4],yes
2005,阿拉伯,4.51,A1 la1 bo2,Arabian; Arabic; Arab,yes
2006,首页,4.51,shou3 ye4,home page (of a website); title page; front page; first page; fig. beginning; cover letter,yes
2007,黄色,4.51,huang2 se4,yellow; vulgar; lewd; pornographic,yes
2008,一对,4.50,yi1 dui4,couple; pair,yes
2009,一本,4.50,,,no
2010,上网,4.50,shang4 wang3,"to go online; to connect to the Internet; (of a document etc) to be uploaded to the Internet; (tennis, volleyball etc) t",yes
2011,伦理,4.50,lun2 li3,ethics,yes
2012,佛教,4.50,Fo2 jiao4,Buddhism,yes
2013,协商,4.50,xie2 shang1,to consult with; to talk things over; agreement,yes
2014,参观,4.50,can1 guan1,"to visit (a place, e.g. museum or factory); to tour; to look around",yes
2015,大赛,4.50,da4 sai4,grand contest,yes
2016,大连,4.50,Da4 lian2,see 大連市|大连市[Da4 lian2 Shi4],yes
2017,太空,4.50,tai4 kong1,outer space,yes
2018,定期,4.50,ding4 qi1,at set dates; at regular intervals; periodic; limited to a fixed period of time; fixed term,yes
2019,审议,4.50,shen3 yi4,(of a committee etc) to deliberate; to consider; to discuss,yes
2020,家属,4.50,jia1 shu3,family member; (family) dependent,yes
2021,密切,4.50,mi4 qie4,close; familiar; intimate; closely (related); to foster close ties; to pay close attention,yes
2022,展现,4.50,zhan3 xian4,to unfold before one's eyes; to emerge; to reveal; to display,yes
2023,庞大,4.50,pang2 da4,huge; enormous; tremendous,yes
2024,心态,4.50,xin1 tai4,attitude (of the heart); state of one's psyche; way of thinking; mentality,yes
2025,总额,4.50,zong3 e2,total (amount or value),yes
2026,我家,4.50,,,no
2027,我爱你,4.50,,,no
2028,战场,4.50,zhan4 chang3,battlefield; CL:個|个[ge4],yes
2029,承受,4.50,cheng2 shou4,to bear; to support; to inherit,yes
2030,新人,4.50,xin1 ren2,"newcomer; new recruit; fresh talent; newlywed, esp. new bride; newlywed couple; bride and groom; (paleoanthropology) lat",yes
2031,权威,4.50,quan2 wei1,authority; authoritative; power and prestige,yes
2032,毫米,4.50,hao2 mi3,millimeter,yes
2033,流量,4.50,liu2 liang4,flow rate; throughput of passengers; volume of traffic; (hydrology) discharge; data traffic; network traffic; website tr,yes
2034,灾难,4.50,zai1 nan4,disaster; catastrophe,yes
2035,爷爷,4.50,ye2 ye5,(coll.) paternal grandfather; grandpa,yes
2036,现状,4.50,xian4 zhuang4,current situation,yes
2037,生意,4.50,sheng1 yi4,life force; vitality,yes
2038,百科,4.50,bai3 ke1,universal; encyclopedic; abbr. for 百科全書|百科全书[bai3 ke1 quan2 shu1],yes
2039,石头,4.50,shi2 tou5,stone; CL:塊|块[kuai4],yes
2040,管制,4.50,guan3 zhi4,to control; to restrict; (PRC law) non-custodial sentence with specified restrictions on one's activities for up to 3 ye,yes
2041,累计,4.50,lei3 ji4,to calculate the running total; cumulative; the total; in total,yes
2042,绝不,4.50,jue2 bu4,in no way; not in the least; absolutely not,yes
2043,美食,4.50,mei3 shi2,culinary delicacy; fine food; gourmet food,yes
2044,耶稣,4.50,Ye1 su1,Jesus,yes
2045,脑袋,4.50,nao3 dai5,"head; skull; brains; mental capability; CL:顆|颗[ke1],個|个[ge4]",yes
2046,脸上,4.50,,,no
2047,行政区划,4.50,xing2 zheng4 qu1 hua4,administrative subdivision,yes
2048,被告,4.50,bei4 gao4,(law) the defendant; the accused,yes
2049,计画,4.50,ji4 hua4,variant of 計劃|计划[ji4 hua4],yes
2050,货物,4.50,huo4 wu4,goods; commodity; merchandise; CL:宗[zong1],yes
2051,隐藏,4.50,yin3 cang2,to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidd,yes
2052,一辈子,4.49,yi1 bei4 zi5,(for) a lifetime,yes
2053,三天,4.49,,,no
2054,上级,4.49,shang4 ji2,higher authorities; superiors; CL:個|个[ge4],yes
2055,严肃,4.49,yan2 su4,(of an atmosphere etc) solemn; grave; serious; (of a manner etc) earnest; severe; exacting; to strictly enforce,yes
2056,元素,4.49,yuan2 su4,element (key component of sth); (chemistry) element; (math.) element (member of a set),yes
2057,关联,4.49,guan1 lian2,to be related; to be connected; relationship; connection,yes
2058,几次,4.49,ji3 ci4,several times,yes
2059,制裁,4.49,zhi4 cai2,to punish; punishment; sanctions (incl. economic),yes
2060,加州,4.49,Jia1 zhou1,California,yes
2061,劳动力,4.49,lao2 dong4 li4,labor force; manpower,yes
2062,台北,4.49,Tai2 bei3,"Taipei, capital of Taiwan",yes
2063,回顾,4.49,hui2 gu4,to look back; to review,yes
2064,声称,4.49,sheng1 cheng1,to claim; to state; to proclaim; to assert,yes
2065,大桥,4.49,Da4 Qiao2,"Da Qiao, one of the Two Qiaos, according to Romance of the Three Kingdoms 三國演義|三国演义[San1 guo2 Yan3 yi4], the two great b",yes
2066,大胆,4.49,da4 dan3,brazen; audacious; outrageous; bold; daring; fearless,yes
2067,奖金,4.49,jiang3 jin1,premium; award money; bonus,yes
2068,好吃,4.49,hao3 chi1,tasty; delicious,yes
2069,安徽,4.49,An1 hui1,see 安徽省[An1 hui1 Sheng3],yes
2070,年初,4.49,nian2 chu1,beginning of the year,yes
2071,延伸,4.49,yan2 shen1,to extend; to spread,yes
2072,延续,4.49,yan2 xu4,to continue; to go on; to last,yes
2073,建筑物,4.49,jian4 zhu4 wu4,building; structure; edifice,yes
2074,打造,4.49,da3 zao4,to create; to build; to develop; to forge (of metal),yes
2075,护士,4.49,hu4 shi5,nurse,yes
2076,授予,4.49,shou4 yu3,to award; to confer,yes
2077,时报,4.49,Shi2 bao4,"""Times"" (newspaper, e.g. New York Times)",yes
2078,智能,4.49,zhi4 neng2,"intelligent; able; smart (phone, system, bomb etc)",yes
2079,暂停,4.49,zan4 ting2,to suspend; time-out (e.g. in sports); stoppage; pause (media player),yes
2080,游泳,4.49,you2 yong3,swimming; to swim,yes
2081,留言,4.49,liu2 yan2,to leave a message; to leave one's comments; message,yes
2082,目录,4.49,mu4 lu4,catalog; table of contents; directory (on computer hard drive); list; contents,yes
2083,研究生,4.49,yan2 jiu1 sheng1,graduate student; postgraduate student; research student,yes
2084,繁荣,4.49,fan2 rong2,prosperous; booming,yes
2085,腾讯,4.49,Teng2 xun4,"Tencent, Chinese tech conglomerate, founded in 1998",yes
2086,花园,4.49,hua1 yuan2,"garden (for flowers, ornamental plants etc); (landscaped) park; yard with decorative plants; CL:座[zuo4]",yes
2087,装饰,4.49,zhuang1 shi4,to decorate; decoration; decorative; ornamental,yes
2088,设有,4.49,she4 you3,to have; to incorporate; to feature,yes
2089,诗歌,4.49,shi1 ge1,"poem; CL:本[ben3],首[shou3],段[duan4]",yes
2090,过度,4.49,guo4 du4,excessive; over-; excess; going too far; extravagant; intemperate; overdue,yes
2091,阿里,4.49,A1 li3,"(name) Ali; Ali (c. 600–661), the fourth caliph of Islam; Alibaba, e-commerce company (abbr. for 阿里巴巴[A1 li3 ba1 ba1]); ",yes
2092,靠近,4.49,kao4 jin4,to be close to; to approach; to draw near,yes
2093,领先,4.49,ling3 xian1,to lead; to be in front,yes
2094,题材,4.49,ti2 cai2,subject matter,yes
2095,骑士,4.49,qi2 shi4,"knight; cavalier; (Tw) bike rider (scooter, bicycle etc)",yes
2096,之内,4.48,zhi1 nei4,inside; within,yes
2097,习近平,4.48,Xi2 Jin4 ping2,"Xi Jinping (1953–), PRC politician, General Secretary of the CCP from 2012, president of the PRC from 2013",yes
2098,伊斯兰,4.48,Yi1 si1 lan2,Islam,yes
2099,住房,4.48,zhu4 fang2,housing,yes
2100,其次,4.48,qi2 ci4,next; secondly,yes
2101,出于,4.48,chu1 yu2,due to; to stem from,yes
2102,创意,4.48,chuang4 yi4,creative; creativity,yes
2103,初步,4.48,chu1 bu4,initial; preliminary; tentative,yes
2104,剥夺,4.48,bo1 duo2,to deprive; to expropriate; to strip (sb of his property),yes
2105,含有,4.48,han2 you3,to contain; including,yes
2106,回报,4.48,hui2 bao4,(in) return; reciprocation; payback; retaliation; to report back; to reciprocate,yes
2107,垄断,4.48,long3 duan4,to monopolize,yes
2108,基因,4.48,ji1 yin1,gene (loanword),yes
2109,婚礼,4.48,hun1 li3,wedding ceremony; wedding; CL:場|场[chang3],yes
2110,尊严,4.48,zun1 yan2,dignity; sanctity; honor; majesty,yes
2111,岗位,4.48,gang3 wei4,a post; a job,yes
2112,情节,4.48,qing2 jie2,circumstances; plot; storyline,yes
2113,惊人,4.48,jing1 ren2,astonishing,yes
2114,感动,4.48,gan3 dong4,to move (sb); to touch (sb emotionally); moving,yes
2115,手里,4.48,shou3 li3,in hand; (a situation is) in sb's hands,yes
2116,扮演,4.48,ban4 yan3,to play the role of; to act,yes
2117,抵制,4.48,di3 zhi4,to resist; to boycott; to refuse (to cooperate); to reject; resistance; refusal,yes
2118,排除,4.48,pai2 chu2,to eliminate; to remove; to exclude; to rule out,yes
2119,接到,4.48,jie1 dao4,to receive (letter etc),yes
2120,时光,4.48,shi2 guang1,time; era; period of time,yes
2121,期望,4.48,qi1 wang4,to have expectations; to earnestly hope; expectation; hope,yes
2122,桥梁,4.48,qiao2 liang2,bridge (lit. and fig.),yes
2123,正如,4.48,zheng4 ru2,just as; precisely as,yes
2124,海上,4.48,hai3 shang4,maritime,yes
2125,温暖,4.48,wen1 nuan3,warm,yes
2126,玩具,4.48,wan2 ju4,plaything; toy,yes
2127,环节,4.48,huan2 jie2,"(zoology) segment (of the body of a worm, centipede etc); (fig.) a part of an integrated whole: aspect (of a project), e",yes
2128,男朋友,4.48,nan2 peng2 you5,boyfriend,yes
2129,经济学,4.48,jing1 ji4 xue2,economics (as a field of study),yes
2130,考察,4.48,kao3 cha2,to inspect; to observe and study; on-the-spot investigation,yes
2131,考核,4.48,kao3 he2,to examine; to check up on; to assess; to review; appraisal; review; evaluation,yes
2132,节日,4.48,jie2 ri4,holiday; festival; CL:個|个[ge4],yes
2133,西南,4.48,xi1 nan2,southwest,yes
2134,辽宁,4.48,Liao2 ning2,see 遼寧省|辽宁省[Liao2 ning2 Sheng3],yes
2135,这点,4.48,,,no
2136,风暴,4.48,feng1 bao4,"storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)",yes
2137,任职,4.47,ren4 zhi2,to hold a post; to take office,yes
2138,再见,4.47,zai4 jian4,goodbye; see you again later,yes
2139,凌晨,4.47,ling2 chen2,very early in the morning; in the wee hours,yes
2140,函数,4.47,han2 shu4,function (math.),yes
2141,列车,4.47,lie4 che1,(railway) train,yes
2142,办事,4.47,ban4 shi4,to handle (affairs); to work,yes
2143,包装,4.47,bao1 zhuang1,to wrap; to package (goods etc); packaging; packing materials; (fig.) to present attractively; to craft an image; to pac,yes
2144,医药,4.47,yi1 yao4,medical care and medicines; medicine (drug); medical; pharmaceutical,yes
2145,单一,4.47,dan1 yi1,single; only; sole,yes
2146,参数,4.47,can1 shu4,parameter,yes
2147,友谊,4.47,You3 yi4,see 友誼縣|友谊县[You3 yi4 Xian4],yes
2148,叙述,4.47,xu4 shu4,to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account,yes
2149,号召,4.47,hao4 zhao4,to call; to appeal,yes
2150,后期,4.47,hou4 qi1,late stage; later period,yes
2151,大声,4.47,da4 sheng1,loud voice; in a loud voice; loudly,yes
2152,奥运会,4.47,Ao4 yun4 hui4,Olympic Games; the Olympics (abbr. for 奧林匹克運動會|奥林匹克运动会[Ao4 lin2 pi3 ke4 Yun4 dong4 hui4]),yes
2153,富有,4.47,fu4 you3,rich; wealthy; affluent; to be rich in; to be replete with,yes
2154,对立,4.47,dui4 li4,to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical,yes
2155,巴士,4.47,ba1 shi4,bus (loanword); motor coach,yes
2156,形容,4.47,xing2 rong2,to describe; (literary) countenance; appearance,yes
2157,愉快,4.47,yu2 kuai4,cheerful; happy; pleasant; delighted,yes
2158,指责,4.47,zhi3 ze2,to criticize; to find fault with; to denounce,yes
2159,收益,4.47,shou1 yi4,earnings; profit,yes
2160,更为,4.47,geng4 wei2,even more,yes
2161,欧元,4.47,ou1 yuan2,euro (currency),yes
2162,残酷,4.47,can2 ku4,cruel; cruelty,yes
2163,流通,4.47,liu2 tong1,to circulate; to distribute; circulation; distribution,yes
2164,渐渐,4.47,jian4 jian4,gradually,yes
2165,热爱,4.47,re4 ai4,to love ardently; to adore,yes
2166,男生,4.47,nan2 sheng1,schoolboy; male student; boy; guy (young adult male),yes
2167,疫情,4.47,yi4 qing2,epidemic situation,yes
2168,直升机,4.47,zhi2 sheng1 ji1,helicopter; CL:架[jia4],yes
2169,神经,4.47,shen2 jing1,nerve; mental state; (coll.) unhinged; nutjob,yes
2170,策划,4.47,ce4 hua4,to plot; to scheme; to bring about; to engineer; planning; producer; planner,yes
2171,糟糕,4.47,zao1 gao1,too bad; how terrible; what bad luck; terrible; bad,yes
2172,结局,4.47,jie2 ju2,conclusion; ending,yes
2173,维修,4.47,wei2 xiu1,maintenance (of equipment); to protect and maintain,yes
2174,自称,4.47,zi4 cheng1,to call oneself; to claim to be; to profess; to claim a title,yes
2175,设定,4.47,she4 ding4,to set; to set up; to install; setting; preferences,yes
2176,诸多,4.47,zhu1 duo1,"(used for abstract things) a good deal, a lot of",yes
2177,账户,4.47,zhang4 hu4,bank account; online account,yes
2178,贯彻,4.47,guan4 che4,to implement; to put into practice; to carry out,yes
2179,透明,4.47,tou4 ming2,transparent; (fig.) transparent; open to scrutiny,yes
2180,通报,4.47,tong1 bao4,to inform; to notify; to announce; circular; bulletin; (scientific) journal,yes
2181,颁布,4.47,ban1 bu4,"to issue; to proclaim; to enact (laws, decrees etc)",yes
2182,饮食,4.47,yin3 shi2,eating and drinking; food and drink; diet,yes
2183,高等,4.47,gao1 deng3,"high-level; higher (animals, education etc); advanced (math etc)",yes
2184,不准,4.46,bu4 zhun3,not to allow; to forbid; to prohibit,yes
2185,专辑,4.46,zhuan1 ji2,album; record (music); special collection of printed or broadcast material,yes
2186,丧失,4.46,sang4 shi1,to lose; to forfeit,yes
2187,人均,4.46,ren2 jun1,per capita; averaged per person,yes
2188,以便,4.46,yi3 bian4,so that; so as to; in order to,yes
2189,任命,4.46,ren4 ming4,to appoint; (job) appointment; CL:紙|纸[zhi3],yes
2190,传奇,4.46,chuan2 qi2,legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty,yes
2191,传媒,4.46,chuan2 mei2,media,yes
2192,保守,4.46,bao3 shou3,conservative; to guard; to keep,yes
2193,共识,4.46,gong4 shi2,common understanding; consensus,yes
2194,刑事,4.46,xing2 shi4,criminal; penal,yes
2195,初中,4.46,chu1 zhong1,junior high school (abbr. for 初級中學|初级中学[chu1 ji2 zhong1 xue2]),yes
2196,助理,4.46,zhu4 li3,assistant,yes
2197,包围,4.46,bao1 wei2,to surround; to encircle; to hem in,yes
2198,匿名,4.46,ni4 ming2,anonymous,yes
2199,后者,4.46,hou4 zhe3,the latter,yes
2200,命名,4.46,ming4 ming2,to give a name to; to dub; to christen; to designate; named after; naming,yes
2201,地质,4.46,di4 zhi4,geology,yes
2202,大厅,4.46,da4 ting1,hall; concourse; public lounge; (hotel) lobby,yes
2203,大奖,4.46,da4 jiang3,prize; award,yes
2204,姓名,4.46,xing4 ming2,surname and given name; full name,yes
2205,差距,4.46,cha1 ju4,disparity; gap,yes
2206,带动,4.46,dai4 dong4,to spur; to provide impetus; to drive,yes
2207,度过,4.46,du4 guo4,to pass; to spend (time); to survive; to get through,yes
2208,总数,4.46,zong3 shu4,total; sum; aggregate,yes
2209,抗战,4.46,kang4 zhan4,"war of resistance, especially the war against Japan (1937-1945)",yes
2210,推行,4.46,tui1 xing2,"to implement; to carry out; to introduce (a policy, system, reform etc); to promote; to advance (the practice of an art ",yes
2211,晚安,4.46,wan3 an1,Good night!; Good evening!,yes
2212,民国,4.46,Min2 guo2,"Republic of China (1912-1949); used in Taiwan as the name of the calendar era (e.g. 民國六十年|民国六十年 is 1971, the 60th year a",yes
2213,河流,4.46,he2 liu2,river; CL:條|条[tiao2],yes
2214,示威,4.46,shi4 wei1,to demonstrate (as a protest); a demonstration; a military show of force,yes
2215,神话,4.46,shen2 hua4,legend; fairy tale; myth; mythology,yes
2216,管辖,4.46,guan3 xia2,to administer; to have jurisdiction (over),yes
2217,调节,4.46,tiao2 jie2,to adjust; to regulate; to harmonize; to reconcile (accountancy etc),yes
2218,轻易,4.46,qing1 yi4,easy; simple; rashly; offhandedly,yes
2219,较大,4.46,jiao4 da4,comparatively large,yes
2220,辅助,4.46,fu3 zhu4,to assist; to aid; supplementary; auxiliary,yes
2221,过于,4.46,guo4 yu2,excessively; too,yes
2222,远离,4.46,yuan3 li2,to be far from; to keep away from,yes
2223,迫使,4.46,po4 shi3,to force; to compel,yes
2224,阻碍,4.46,zu3 ai4,to obstruct; to hinder; to block; obstruction; hindrance,yes
2225,集会,4.46,ji2 hui4,"to gather; assembly; meeting; CL:個|个[ge4],次[ci4]",yes
2226,青春,4.46,qing1 chun1,youth; youthfulness,yes
2227,高速公路,4.46,gao1 su4 gong1 lu4,expressway; highway; freeway,yes
2228,黑龙江,4.46,Hei1 long2 jiang1,"see 黑龍江省|黑龙江省[Hei1 long2 jiang1 Sheng3]; Heilong River or Amur River, forming the border between northeast China and Rus",yes
2229,三星,4.45,San1 xing1,"Samsung (South Korean electronics company); Sanxing or Sanhsing Township in Yilan County 宜蘭縣|宜兰县[Yi2 lan2 Xian4], Taiwan",yes
2230,人会,4.45,,,no
2231,债务,4.45,zhai4 wu4,debt; liability; amount due; indebtedness,yes
2232,压迫,4.45,ya1 po4,to oppress; to repress; to constrict; oppression; stress (physics),yes
2233,原料,4.45,yuan2 liao4,raw material,yes
2234,呼吸,4.45,hu1 xi1,to breathe,yes
2235,太太,4.45,tai4 tai5,"married woman; Mrs.; Madam; wife; CL:個|个[ge4],位[wei4]",yes
2236,央视,4.45,Yang1 shi4,"China Central Television (CCTV), abbr. for 中國中央電視台|中国中央电视台[Zhong1 guo2 Zhong1 yang1 Dian4 shi4 tai2]",yes
2237,奇迹,4.45,qi2 ji4,variant of 奇蹟|奇迹[qi2 ji4],yes
2238,奶奶,4.45,nai3 nai5,(informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies; breasts,yes
2239,好奇,4.45,hao4 qi2,inquisitive; curious; inquisitiveness; curiosity,yes
2240,实质,4.45,shi2 zhi4,substance; essence,yes
2241,山区,4.45,shan1 qu1,mountain area; CL:個|个[ge4],yes
2242,带有,4.45,dai4 you3,"to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a path",yes
2243,干扰,4.45,gan1 rao3,to disturb; to interfere; perturbation; interference (physics),yes
2244,干涉,4.45,gan1 she4,to interfere; to meddle; interference,yes
2245,应付,4.45,ying4 fu5,to deal with; to cope,yes
2246,应对,4.45,ying4 dui4,to answer; to reply; to handle; to deal with; response,yes
2247,开设,4.45,kai1 she4,to offer (goods or services); to open (for business etc),yes
2248,强奸,4.45,qiang2 jian1,to rape,yes
2249,控股,4.45,kong4 gu3,to own a controlling number of shares in a company,yes
2250,政协,4.45,Zheng4 Xie2,CPPCC (Chinese People's Political Consultative Conference); abbr. of 中國人民政治協商會議|中国人民政治协商会议[Zhong1 guo2 Ren2 min2 Zheng4 ,yes
2251,普及,4.45,pu3 ji2,to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive,yes
2252,暴露,4.45,bao4 lu4,to expose; to reveal; to lay bare; also pr. [pu4 lu4],yes
2253,替代,4.45,ti4 dai4,to substitute for; to replace; to supersede,yes
2254,检察院,4.45,jian3 cha2 yuan4,prosecutor's office; procuratorate,yes
2255,欲望,4.45,yu4 wang4,desire; longing; appetite; craving,yes
2256,每周,4.45,mei3 zhou1,every week,yes
2257,毒品,4.45,du2 pin3,drugs; narcotics; poison,yes
2258,法治,4.45,fa3 zhi4,rule of law; to rule by law,yes
2259,注重,4.45,zhu4 zhong4,to pay attention to; to emphasize,yes
2260,渴望,4.45,ke3 wang4,to thirst for; to long for,yes
2261,演变,4.45,yan3 bian4,to develop; to evolve,yes
2262,症状,4.45,zheng4 zhuang4,symptom (of an illness),yes
2263,码头,4.45,ma3 tou5,wharf; dock; quay; pier,yes
2264,笑话,4.45,xiao4 hua5,joke; jest (CL:個|个[ge4]); to laugh at; to mock; ridiculous; absurd,yes
2265,绝望,4.45,jue2 wang4,to despair; to give up all hope; desperate; desperation,yes
2266,职能,4.45,zhi2 neng2,function; role,yes
2267,聚集,4.45,ju4 ji2,to assemble; to gather,yes
2268,色情,4.45,se4 qing2,pornography; sex,yes
2269,营养,4.45,ying2 yang3,nutrition; nourishment; CL:種|种[zhong3],yes
2270,视觉,4.45,shi4 jue2,sight; vision; visual,yes
2271,贵州,4.45,Gui4 zhou1,see 貴州省|贵州省[Gui4 zhou1 Sheng3],yes
2272,辐射,4.45,fu2 she4,radiation,yes
2273,过渡,4.45,guo4 du4,to cross over (by ferry); transition; interim; caretaker (administration),yes
2274,通道,4.45,tong1 dao4,(communications) channel; thoroughfare; passage,yes
2275,频率,4.45,pin2 lu:4,frequency,yes
2276,马克,4.45,Ma3 ke4,Mark (name),yes
2277,一度,4.44,yi1 du4,for a time; at one time; one time; once,yes
2278,中国政府,4.44,,,no
2279,丹麦,4.44,Dan1 mai4,Denmark,yes
2280,为此,4.44,wei4 ci3,for this reason; with regards to this; in this respect; in order to do this; to this end,yes
2281,之上,4.44,zhi1 shang4,above,yes
2282,交往,4.44,jiao1 wang3,to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; con,yes
2283,人民政府,4.44,ren2 min2 zheng4 fu3,people's government,yes
2284,修正,4.44,xiu1 zheng4,to revise; to amend; to rectify,yes
2285,匈牙利,4.44,Xiong1 ya2 li4,Hungary,yes
2286,半年,4.44,ban4 nian2,half a year,yes
2287,即便,4.44,ji2 bian4,even if; even though; right away; immediately,yes
2288,厨房,4.44,chu2 fang2,kitchen; CL:間|间[jian1],yes
2289,商务,4.44,shang1 wu4,commercial affairs; commercial; commerce; business,yes
2290,图像,4.44,tu2 xiang4,image; picture; graphic,yes
2291,坚强,4.44,jian1 qiang2,staunch; strong,yes
2292,委托,4.44,wei3 tuo1,to entrust; to trust; to commission,yes
2293,对应,4.44,dui4 ying4,to correspond (to); to be equivalent to; to be a counterpart to,yes
2294,射击,4.44,she4 ji1,to shoot; to fire (a gun),yes
2295,崩溃,4.44,beng1 kui4,to collapse; to crumble; to fall apart,yes
2296,开幕,4.44,kai1 mu4,to open (a conference); to inaugurate,yes
2297,心脏,4.44,xin1 zang4,"heart; CL:顆|颗[ke1],個|个[ge4]",yes
2298,惊讶,4.44,jing1 ya4,amazed; astonished; to surprise; amazing; astonishment; awe,yes
2299,意志,4.44,yi4 zhi4,will; willpower; determination,yes
2300,把握,4.44,ba3 wo4,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),yes
2301,抛弃,4.44,pao1 qi4,to abandon; to discard; to renounce; to dump (sb),yes
2302,拿出,4.44,na2 chu1,to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence),yes
2303,提交,4.44,ti2 jiao1,to submit (a report etc); to refer (a problem) to sb,yes
2304,旅馆,4.44,lu:3 guan3,hotel; CL:家[jia1],yes
2305,死刑,4.44,si3 xing2,death penalty; capital punishment,yes
2306,毁灭,4.44,hui3 mie4,to perish; to ruin; to destroy,yes
2307,渠道,4.44,qu2 dao4,irrigation ditch; (fig.) channel; means,yes
2308,热烈,4.44,re4 lie4,enthusiastic; ardent; warm,yes
2309,看待,4.44,kan4 dai4,to look upon; to regard,yes
2310,笔者,4.44,bi3 zhe3,the author; the writer (usu. refers to oneself),yes
2311,等到,4.44,deng3 dao4,to wait until; by the time when (sth is ready etc),yes
2312,练习,4.44,lian4 xi2,to practice; exercise; drill; practice; CL:個|个[ge4],yes
2313,罪犯,4.44,zui4 fan4,criminal,yes
2314,聚会,4.44,ju4 hui4,party; gathering; to meet; to get together,yes
2315,艰难,4.44,jian1 nan2,difficult; hard; challenging,yes
2316,补偿,4.44,bu3 chang2,to compensate; to make up,yes
2317,证书,4.44,zheng4 shu1,credentials; certificate,yes
2318,说服,4.44,shuo1 fu2,to persuade; to convince; to talk sb over; Taiwan pr. [shui4 fu2],yes
2319,部份,4.44,,,no
2320,阴谋,4.44,yin1 mou2,to conspire; to plot; a conspiracy; a plot,yes
2321,随意,4.44,sui2 yi4,as one wishes; according to one's wishes; at will; voluntary; conscious,yes
2322,露出,4.44,lu4 chu1,to expose; to show; also pr. [lou4 chu1],yes
2323,一日,4.43,,,no
2324,一款,4.43,,,no
2325,三次,4.43,san1 ci4,"third; three times; (math.) degree three, cubic (equation)",yes
2326,乐团,4.43,yue4 tuan2,band; orchestra,yes
2327,低于,4.43,di1 yu2,to be lower than,yes
2328,偶像,4.43,ou3 xiang4,idol,yes
2329,南北,4.43,nan2 bei3,north and south; north to south,yes
2330,史上,4.43,shi3 shang4,in history,yes
2331,周恩来,4.43,Zhou1 En1 lai2,"Zhou Enlai (1898-1976), Chinese communist leader, prime minister 1949-1976",yes
2332,坚定,4.43,jian1 ding4,firm; steady; staunch; resolute,yes
2333,处罚,4.43,chu3 fa2,to penalize; to punish,yes
2334,大街,4.43,da4 jie1,street; main street; CL:條|条[tiao2],yes
2335,封闭,4.43,feng1 bi4,to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input),yes
2336,小镇,4.43,xiao3 zhen4,small town; village,yes
2337,往来,4.43,wang3 lai2,dealings; contacts; to go back and forth,yes
2338,抵抗,4.43,di3 kang4,to resist; resistance,yes
2339,招生,4.43,zhao1 sheng1,to enroll new students; to get students,yes
2340,新华社,4.43,Xin1 hua2 she4,"Xinhua News Agency, official press agency of the People's Republic of China, founded in 1931",yes
2341,新鲜,4.43,xin1 xian1,"fresh (experience, food etc); freshness; novel; uncommon",yes
2342,旗帜,4.43,qi2 zhi4,ensign; flag,yes
2343,每月,4.43,mei3 yue4,each month,yes
2344,民主党,4.43,Min2 zhu3 dang3,Democratic Party,yes
2345,浪漫,4.43,lang4 man4,romantic,yes
2346,港口,4.43,gang3 kou3,port; harbor,yes
2347,片段,4.43,pian4 duan4,fragment (of speech etc); extract (from book etc); episode (of story etc),yes
2348,狮子,4.43,Shi1 zi3,"Leo (star sign); Shihtzu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan",yes
2349,画家,4.43,hua4 jia1,painter; CL:個|个[ge4],yes
2350,称呼,4.43,cheng1 hu5,to call; to address as; form of address; appellation,yes
2351,空军,4.43,kong1 jun1,air force; (slang) to fail to catch anything (on a fishing trip); to get skunked,yes
2352,签名,4.43,qian1 ming2,to sign (one's name with a pen etc); to autograph; signature,yes
2353,罢了,4.43,ba4 le5,"a modal particle indicating (that's all, only, nothing much)",yes
2354,老实,4.43,lao3 shi5,honest; sincere; well-behaved; naive; gullible,yes
2355,董事,4.43,dong3 shi4,board member,yes
2356,论述,4.43,lun4 shu4,treatise; discourse; exposition,yes
2357,迎接,4.43,ying2 jie1,to welcome; to greet,yes
2358,这张,4.43,,,no
2359,送到,4.43,,,no
