rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
149,了解,5.44,liao3 jie3,to understand; to realize; to find out,yes
150,感觉,5.44,gan3 jue2,feeling; impression; sensation; to feel; to perceive,yes
151,拥有,5.44,yong1 you3,to have; to possess,yes
152,电话,5.44,dian4 hua4,telephone; CL:部[bu4]; phone call; CL:通[tong1]; phone number,yes
153,艺术,5.44,yi4 shu4,art,yes
154,解决,5.44,jie3 jue2,"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)",yes
155,传统,5.43,chuan2 tong3,tradition; traditional; convention; conventional; CL:個|个[ge4],yes
156,全球,5.43,quan2 qiu2,the whole world; worldwide; global,yes
157,其实,5.43,qi2 shi2,actually; in fact; really,yes
158,独立,5.43,du2 li4,independent; independence; to stand alone,yes
159,超过,5.43,chao1 guo4,to surpass; to exceed; to outstrip,yes
160,韩国,5.43,Han2 guo2,"South Korea (Republic of Korea); (historical) Han, one of the Seven Warring States 戰國七雄|战国七雄[Zhan4 guo2 Qi1 xiong2]",yes
161,人类,5.42,ren2 lei4,humanity; human race; mankind,yes
162,分析,5.42,fen1 xi1,to analyze; analysis; CL:個|个[ge4],yes
163,告诉,5.42,gao4 su4,to press charges; to file a complaint,yes
164,投资,5.42,tou2 zi1,investment; to invest,yes
165,期间,5.42,qi1 jian1,period of time; time; time period; period; CL:個|个[ge4],yes
166,目标,5.42,mu4 biao1,target; goal; objective; CL:個|个[ge4],yes
167,真正,5.42,zhen1 zheng4,genuine; real; true; really; indeed,yes
168,调查,5.42,diao4 cha2,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiang4],個|个[ge4]",yes
169,世纪,5.41,shi4 ji4,century; CL:個|个[ge4],yes
170,严重,5.41,yan2 zhong4,grave; serious; severe; critical,yes
171,增加,5.41,zeng1 jia1,to raise; to increase,yes
172,帮助,5.41,bang1 zhu4,assistance; aid; to help; to assist,yes
173,并且,5.41,bing4 qie3,and; besides; moreover; furthermore; in addition,yes
174,受到,5.40,shou4 dao4,"to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)",yes
175,基础,5.40,ji1 chu3,base; foundation; basis; basic; fundamental,yes
176,家庭,5.40,jia1 ting2,"family; household; CL:戶|户[hu4],個|个[ge4]",yes
177,第一,5.40,di4 yi1,first; most important; primary; foremost,yes
178,具有,5.39,ju4 you3,to have; to possess,yes
179,实现,5.39,shi2 xian4,to achieve; to implement; to realize; to bring about,yes
180,控制,5.39,kong4 zhi4,to control,yes
181,根本,5.39,gen1 ben3,fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[ge4],yes
182,男人,5.39,nan2 ren2,a man; a male; men; CL:個|个[ge4],yes
183,结束,5.39,jie2 shu4,termination; to finish; to end; to conclude; to close,yes
184,努力,5.38,nu3 li4,to make an effort; to try hard; to strive; hard-working; conscientious,yes
185,如此,5.38,ru2 ci3,like this; so; such,yes
186,媒体,5.38,mei2 ti3,"media, esp. news media",yes
187,整个,5.38,zheng3 ge4,whole; entire; total,yes
188,群众,5.38,qun2 zhong4,mass; multitude; the masses,yes
189,选举,5.38,xuan3 ju3,"to elect; election; CL:次[ci4],個|个[ge4]",yes
190,以下,5.37,yi3 xia4,that level or lower; that amount or less; the following,yes
191,制度,5.37,zhi4 du4,"system (e.g. political, adminstrative etc); institution; CL:個|个[ge4]",yes
192,欧洲,5.37,Ou1 zhou1,Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1]),yes
193,每个,5.37,mei3 ge4,each; every,yes
194,比赛,5.37,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]; to compete",yes
195,表现,5.37,biao3 xian4,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); beha,yes
196,主席,5.36,zhu3 xi2,"chairperson; premier; chairman; CL:個|个[ge4],位[wei4]",yes
197,以上,5.36,yi3 shang4,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) ,yes
198,以来,5.36,yi3 lai2,since (a previous event),yes
199,办法,5.36,ban4 fa3,"way of handling sth; means; measure; (practical) solution to a problem; CL:條|条[tiao2],個|个[ge4]",yes
200,图片,5.36,tu2 pian4,picture; photograph; CL:張|张[zhang1],yes
201,革命,5.36,ge2 ming4,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning); revolution; revolutionary; to re,yes
202,价值,5.35,jia4 zhi2,"value; worth; fig. values (ethical, cultural etc); CL:個|个[ge4]",yes
203,基本,5.35,ji1 ben3,basic; fundamental; main; elementary,yes
204,导致,5.35,dao3 zhi4,to lead to; to create; to cause; to bring about,yes
205,注意,5.35,zhu4 yi4,to take note of; to pay attention to,yes
206,的话,5.35,de5 hua4,if (coming after a conditional clause),yes
207,离开,5.35,li2 kai1,to depart; to leave,yes
208,除了,5.35,chu2 le5,"apart from; besides; in addition to (used to exclude, as in 除了他，誰也沒來|除了他，谁也没来[chu2 le5 ta1 , shei2 ye3 mei2 lai2] ""apart",yes
209,反对,5.34,fan3 dui4,to oppose; to be against; to object to,yes
210,建筑,5.34,jian4 zhu4,to construct; building; CL:個|个[ge4],yes
211,形成,5.34,xing2 cheng2,to form; to take shape,yes
212,数据,5.34,shu4 ju4,data,yes
213,银行,5.34,yin2 hang2,"bank; CL:家[jia1],個|个[ge4]",yes
214,音乐,5.34,yin1 yue4,"music; CL:張|张[zhang1],曲[qu3],段[duan4]",yes
215,之一,5.33,zhi1 yi1,"one of (sth); one out of a multitude; one (third, quarter, percent etc)",yes
216,变化,5.33,bian4 hua4,(intransitive) to change; to vary; change; variation (CL:個|个[ge4]),yes
217,增长,5.33,zeng1 zhang3,to grow; to increase,yes
218,官方,5.33,guan1 fang1,government; official (approved or issued by an authority),yes
219,德国,5.33,De2 guo2,Germany,yes
220,是不是,5.33,shi4 bu4 shi4,is or isn't; yes or no; whether or not,yes
221,显示,5.33,xian3 shi4,to show; to illustrate; to display; to demonstrate,yes
222,经验,5.33,jing1 yan4,experience; to go through; to experience,yes
223,专家,5.32,zhuan1 jia1,expert; specialist,yes
224,价格,5.32,jia4 ge2,price; CL:個|个[ge4],yes
225,医院,5.32,yi1 yuan4,"hospital; CL:所[suo3],家[jia1],座[zuo4]",yes
226,建议,5.32,jian4 yi4,"to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:個|个[ge4],點|点[dian3]",yes
227,指出,5.32,zhi3 chu1,to indicate; to point out,yes
228,条件,5.32,tiao2 jian4,condition; circumstance; term; factor; requirement; prerequisite; qualification; situation; state; condition; CL:個|个[ge4,yes
229,标准,5.32,biao1 zhun3,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,yes
230,这次,5.32,,,no
